names_of_apps,apple_price,google_price,apple_rating,google_rating,apple_content_rating,google_content_rating,apple_genre,google_genre,google_install_count,net_income_by_apple_rating,net_income_by_google_rating,avg_income
ASOS,0,0,5,5,4+,Everyone,Shopping,Shopping,10000000,518000,518000,1036000
DOMINO'S PIZZA USA,0,0,5,5,4+,Everyone,Food & Drink,Food & Drink,10000000,518000,518000,1036000
PEWDIEPIE'S TUBER SIMULATOR,0,0,5,5,9+,Teen,Games,Casual,10000000,518000,518000,1036000
"EGG, INC.",0,0,5,5,4+,Everyone,Games,Simulation,5000000,518000,518000,1036000
THE GUARDIAN,0,0,5,5,12+,Teen,News,News & Magazines,5000000,518000,518000,1036000
BIBLE,0,0,4.5,5,4+,Teen,Reference,Books & Reference,100000000,470000,518000,988000
CLASH OF CLANS,0,0,4.5,5,9+,Everyone 10+,Games,Strategy,100000000,470000,518000,988000
CLASH ROYALE,0,0,4.5,5,9+,Everyone 10+,Games,Strategy,100000000,470000,518000,988000
GEOMETRY DASH LITE,0,0,5,4.5,4+,Everyone,Games,Arcade,100000000,518000,470000,988000
HILL CLIMB RACING 2,0,0,4.5,5,9+,Everyone,Games,Racing,100000000,470000,518000,988000
PINTEREST,0,0,4.5,5,12+,Teen,Social Networking,Social,100000000,470000,518000,988000
SCORE! HERO,0,0,4.5,5,4+,Everyone,Games,Sports,100000000,470000,518000,988000
SHADOW FIGHT 2,0,0,4.5,5,12+,Everyone 10+,Games,Action,100000000,470000,518000,988000
GEOMETRY DASH MELTDOWN,0,0,4.5,5,4+,Everyone,Games,Arcade,50000000,470000,518000,988000
MARVEL FUTURE FIGHT,0,0,4.5,5,9+,Everyone 10+,Games,Role Playing,50000000,470000,518000,988000
TOWNSHIP,0,0,4.5,5,4+,Everyone,Games,Casual,50000000,470000,518000,988000
TOY BLAST,0,0,4.5,5,4+,Everyone,Games,Puzzle,50000000,470000,518000,988000
WAR ROBOTS,0,0,4.5,5,12+,Everyone 10+,Games,Action,50000000,470000,518000,988000
ANGRY BIRDS BLAST,0,0,4.5,5,4+,Everyone,Games,Puzzle,10000000,470000,518000,988000
CHASE MOBILE,0,0,4.5,5,4+,Everyone,Finance,Finance,10000000,470000,518000,988000
CHOICES: STORIES YOU PLAY,0,0,4.5,5,12+,Teen,Games,Simulation,10000000,470000,518000,988000
FALLOUT SHELTER,0,0,4.5,5,12+,Teen,Games,Simulation,10000000,470000,518000,988000
FERNANFLOO,0,0,4.5,5,9+,Everyone 10+,Games,Arcade,10000000,470000,518000,988000
FISHDOM,0,0,4.5,5,4+,Everyone,Games,Puzzle,10000000,470000,518000,988000
GEOMETRY DASH WORLD,0,0,4.5,5,4+,Everyone,Games,Arcade,10000000,470000,518000,988000
SOLITAIRE,0,0,4.5,5,4+,Everyone,Games,Card,10000000,470000,518000,988000
ZOMBIE CATCHERS,0,0,4.5,5,12+,Everyone,Games,Action,10000000,470000,518000,988000
ANIMAL JAM - PLAY WILD!,0,0,4.5,5,9+,Everyone,Games,Casual;Pretend Play,5000000,470000,518000,988000
FINAL FANTASY BRAVE EXVIUS,0,0,4.5,5,12+,Teen,Games,Role Playing,5000000,470000,518000,988000
NARCOS: CARTEL WARS,0,0,4.5,5,12+,Teen,Games,Strategy,5000000,470000,518000,988000
FUEL REWARDS® PROGRAM,0,0,4.5,5,4+,Everyone,Shopping,Lifestyle,1000000,470000,518000,988000
INSTAGRAM,0,0,4.5,4.5,12+,Teen,Photo & Video,Social,1000000000,470000,470000,940000
SUBWAY SURFERS,0,0,4.5,4.5,9+,Everyone 10+,Games,Arcade,1000000000,470000,470000,940000
